=== MEDICAL CORPUS INDEX ===

Total Documents: 191
Total Volume: 2 MB
Generated: 2026-05-03T21:56:14.615Z

=== DOCUMENTS ===
Subject | Source | Type | Pages | Size(KB) | Lines | Path
cardiology     | New_ECG_Interpretation_part_2  | book-text          | 1-10     |        2 |     61 | cardiology\book-texts\New_ECG_Interpretation_part_2\pages-001-010.txt
cardiology     | New_ECG_Interpretation_part_2  | book-text          | 11-20    |        2 |     57 | cardiology\book-texts\New_ECG_Interpretation_part_2\pages-011-020.txt
cardiology     | New_ECG_Interpretation_part_2  | book-text          | 21-30    |        2 |     71 | cardiology\book-texts\New_ECG_Interpretation_part_2\pages-021-030.txt
cardiology     | New_ECG_Interpretation_part_2  | book-text          | 31-35    |        1 |     21 | cardiology\book-texts\New_ECG_Interpretation_part_2\pages-031-035.txt
cardiology     | pericardial_disease_ppt        | book-text          | 1-10     |        2 |     57 | cardiology\book-texts\pericardial_disease_ppt\pages-001-010.txt
cardiology     | pericardial_disease_ppt        | book-text          | 11-20    |        2 |     62 | cardiology\book-texts\pericardial_disease_ppt\pages-011-020.txt
cardiology     | pericardial_disease_ppt        | book-text          | 21-30    |        2 |     65 | cardiology\book-texts\pericardial_disease_ppt\pages-021-030.txt
cardiology     | pericardial_disease_ppt        | book-text          | 31-40    |        2 |     63 | cardiology\book-texts\pericardial_disease_ppt\pages-031-040.txt
cardiology     | pericardial_disease_ppt        | book-text          | 41-44    |        1 |     16 | cardiology\book-texts\pericardial_disease_ppt\pages-041-044.txt
cardiology     | SK_Final_2024                  | book-text          | 1-10     |        3 |     78 | cardiology\book-texts\SK_Final_2024\pages-001-010.txt
cardiology     | SK_Final_2024                  | book-text          | 11-20    |        2 |     69 | cardiology\book-texts\SK_Final_2024\pages-011-020.txt
cardiology     | SK_Final_2024                  | book-text          | 21-30    |        2 |     52 | cardiology\book-texts\SK_Final_2024\pages-021-030.txt
cardiology     | SK_Final_2024                  | book-text          | 31-40    |        4 |     96 | cardiology\book-texts\SK_Final_2024\pages-031-040.txt
cardiology     | SK_Final_2024                  | book-text          | 41-50    |        2 |     71 | cardiology\book-texts\SK_Final_2024\pages-041-050.txt
cardiology     | SK_Final_2024                  | book-text          | 51-60    |        2 |     81 | cardiology\book-texts\SK_Final_2024\pages-051-060.txt
cardiology     | SK_Final_2024                  | book-text          | 61-70    |        3 |     99 | cardiology\book-texts\SK_Final_2024\pages-061-070.txt
cardiology     | SK_Final_2024                  | book-text          | 71-74    |        1 |     28 | cardiology\book-texts\SK_Final_2024\pages-071-074.txt
cardiology     | Valves                         | book-text          | 1-10     |        4 |     40 | cardiology\book-texts\Valves\pages-001-010.txt
cardiology     | Valves                         | book-text          | 11-20    |        2 |     38 | cardiology\book-texts\Valves\pages-011-020.txt
cardiology     | Valves                         | book-text          | 21-30    |        2 |     39 | cardiology\book-texts\Valves\pages-021-030.txt
cardiology     | Valves                         | book-text          | 31-40    |        2 |     39 | cardiology\book-texts\Valves\pages-031-040.txt
cardiology     | Valves                         | book-text          | 41-50    |        3 |     39 | cardiology\book-texts\Valves\pages-041-050.txt
cardiology     | Valves                         | book-text          | 51-55    |        1 |     19 | cardiology\book-texts\Valves\pages-051-055.txt
diabetes       | Acute Diabetes  Complications  | audio-transcript   | 1-4      |       11 |    151 | corpus/diabetes/audio-transcripts/Acute Diabetes  Complications - CMED4IIM1 - 2026_pages-001-004.txt
diabetes       | Hyperthyroidism - CMED4IIM1 -  | audio-transcript   | 1-8      |       22 |    294 | corpus/diabetes/audio-transcripts/Hyperthyroidism - CMED4IIM1 - 2026_pages-001-008.txt
diabetes       | Hypothyroidism - CMED4IIM1 - 2 | audio-transcript   | 1-4      |       12 |    137 | corpus/diabetes/audio-transcripts/Hypothyroidism - CMED4IIM1 - 2026_pages-001-004.txt
diabetes       | Lipid Disorders  The Metabolic | audio-transcript   | 1-7      |       21 |    240 | corpus/diabetes/audio-transcripts/Lipid Disorders  The Metabolic Syndrome - CMED4IIM1 - 2026_pages-001-007.txt
diabetes       | Treatment Of Diabetes Mellitus | audio-transcript   | 1-10     |       28 |    246 | corpus/diabetes/audio-transcripts/Treatment Of Diabetes Mellitus - CMED4IIM1 - 2026_pages-001-010.txt
endocrine      | Adrenal Gland - CMED4IIM1 - 20 | audio-transcript   | 1-10     |       23 |    261 | corpus/endocrine/audio-transcripts/Adrenal Gland - CMED4IIM1 - 2026_pages-001-010.txt
endocrine      | Adrenal Gland - CMED4IIM1 - 20 | audio-transcript   | 11-15    |       23 |    275 | corpus/endocrine/audio-transcripts/Adrenal Gland - CMED4IIM1 - 2026_pages-011-015.txt
endocrine      | Diagnosis  Classification Of D | audio-transcript   | 1-10     |       20 |    184 | corpus/endocrine/audio-transcripts/Diagnosis  Classification Of Diabetes Mellitus - CMED4IIM1 - 2026_pages-001-010.txt
endocrine      | Diagnosis  Classification Of D | audio-transcript   | 11-14    |       20 |    203 | corpus/endocrine/audio-transcripts/Diagnosis  Classification Of Diabetes Mellitus - CMED4IIM1 - 2026_pages-011-014.txt
endocrine      | Disorders Of The Pituitary Gla | audio-transcript   | 1-10     |       17 |    197 | corpus/endocrine/audio-transcripts/Disorders Of The Pituitary Gland - CMEDIIM1 - 2026_pages-001-010.txt
endocrine      | Disorders Of The Pituitary Gla | audio-transcript   | 11-12    |       17 |    198 | corpus/endocrine/audio-transcripts/Disorders Of The Pituitary Gland - CMEDIIM1 - 2026_pages-011-012.txt
endocrine      | Parathyroid Disorders - CMED4I | audio-transcript   | 1-7      |       21 |    234 | corpus/endocrine/audio-transcripts/Parathyroid Disorders - CMED4IIM1 - 2026_pages-001-007.txt
gastroenterology | Acute Pancreatitis - CMED4IIM1 | audio-transcript   | 1-5      |       15 |    217 | corpus/gastroenterology/audio-transcripts/Acute Pancreatitis - CMED4IIM1 - 2026_pages-001-005.txt
gastroenterology | Acute, Chronic  HIV Related Di | audio-transcript   | 1-10     |       28 |    641 | corpus/gastroenterology/audio-transcripts/Acute, Chronic  HIV Related Diarrhoea - CMED4IIM1 - 2026_pages-001-010.txt
gastroenterology | An Approach To Ascites - CMED4 | audio-transcript   | 1-10     |       28 |    312 | corpus/gastroenterology/audio-transcripts/An Approach To Ascites - CMED4IIM1 - 2026_pages-001-010.txt
gastroenterology | Chronic Pancreatitis - CMED4II | audio-transcript   | 1-3      |        9 |    134 | corpus/gastroenterology/audio-transcripts/Chronic Pancreatitis - CMED4IIM1 - 2026_pages-001-003.txt
gastroenterology | Cirrhosis  Liver Failuer - CME | audio-transcript   | 1-8      |       22 |    247 | corpus/gastroenterology/audio-transcripts/Cirrhosis  Liver Failuer - CMED4IIM1 - 2026_pages-001-008.txt
gastroenterology | Gastro-Oesophageal Reflux Dise | audio-transcript   | 1-10     |       25 |    371 | corpus/gastroenterology/audio-transcripts/Gastro-Oesophageal Reflux Disease  Peptic Ulcer Disease - CMED4IIM1 - 2026_pages-001-010.txt
gastroenterology | Gastro-Oesophageal Reflux Dise | audio-transcript   | 11-17    |       25 |    377 | corpus/gastroenterology/audio-transcripts/Gastro-Oesophageal Reflux Disease  Peptic Ulcer Disease - CMED4IIM1 - 2026_pages-011-017.txt
gastroenterology | Jaundice - CMED4IIM1 - 2026    | audio-transcript   | 1-10     |       20 |    289 | corpus/gastroenterology/audio-transcripts/Jaundice - CMED4IIM1 - 2026_pages-001-010.txt
